Date,Open,High,Low,Close,Volume
2018-01-02,39.812831542998936,40.31353343162475,39.60225378021744,40.30417251586914,102223600
2018-01-03,40.367346060248224,40.83997234023749,40.2339833574163,40.29715347290039,118071600
2018-01-04,40.36968122128297,40.587277867352185,40.262055690225814,40.48432922363281,89738400
2018-01-05,40.58026570794173,41.031831750925626,40.48901640769327,40.94526290893555,94640000
2018-01-08,40.79317855834961,41.08798314166222,40.694906793768766,40.79317855834961,82271200
2018-01-09,40.83996843122607,40.959293319195865,40.57323948094897,40.78849411010742,86336000
2018-01-10,40.51475348873273,40.78148248660823,40.477316963030724,40.77914047241211,95839600
2018-01-11,40.849330820735744,41.059908588629746,40.82593567106534,41.010772705078125,74670800
2018-01-12,41.22134511941513,41.497435006670855,41.09733976408248,41.434261322021484,101672400
2018-01-16,41.623781733545634,41.97240267540656,41.21199067273534,41.223690032958984,118263600
2018-01-17,41.214325720283874,41.93964315265485,40.961638125023185,41.90454864501953,137547200
2018-01-18,41.967727066089836,42.13852989077325,41.7056785034929,41.94198989868164,124773600
2018-01-19,41.78989720861405,42.016851193088,41.5091304601323,41.75480270385742,129700400
2018-01-22,41.48340442098347,41.59571043645508,41.3196240713074,41.413211822509766,108434400
2018-01-23,41.48339688586861,41.98409876115503,41.37109089079645,41.42256164550781,130756400
2018-01-24,41.47169778528601,41.48339714467017,40.52410679746099,40.762760162353516,204420400
2018-01-25,40.83061316235407,40.93356181882684,39.89940193632538,40.03510665893555,166116000
2018-01-26,40.24334446403802,40.24334446403802,39.78943640292996,40.12869644165039,156572000
2018-01-29,39.81281612238159,39.81281612238159,39.08984096152323,39.29807662963867,202561600
2018-01-30,38.72954563542,39.160055045574445,38.53534764091524,39.06646728515625,184192800
2018-01-31,39.04306705153036,39.41040631577507,38.95649819798095,39.17409133911133,129915600
2018-02-01,39.11325780235259,39.452517867378766,39.01732803557838,39.2559814453125,188923200
2018-02-02,38.839509292555,39.026688364620185,37.45907033009402,37.55265808105469,346375200
2018-02-05,37.22508740195526,38.343477505754464,36.49977003097488,36.614418029785156,290954000
2018-02-06,36.226041047561246,38.30606093384665,36.03184302362693,38.14461898803711,272975200
2018-02-07,38.15864182365693,38.231172856032934,37.218073276522176,37.32803726196289,206434400
2018-02-08,37.5035123688258,37.66963468893804,36.27281627231443,36.3008918762207,217562000
2018-02-09,36.8999676132487,37.0926057952475,35.295416555680326,36.74491500854492,282690400
2018-02-12,37.23590527913192,38.50216084208162,37.00332640992512,38.22494888305664,243278000
2018-02-13,38.04639706346999,38.70419286398582,37.97591830186138,38.607872009277344,130196800
2018-02-14,38.30247969864652,39.35965073484387,38.26489411950926,39.3197135925293,162579600
2018-02-15,39.88823055901645,40.66348992516853,39.70263991420008,40.63999938964844,204588800
2018-02-16,40.49199890679154,41.06992063350234,40.35339290200922,40.50844192504883,160704400
2018-02-20,40.41917323044115,40.938359663897515,40.27116813864954,40.372188568115234,135722000
2018-02-21,40.6024081083395,40.90546216900995,40.17483951865487,40.18893814086914,149886400
2018-02-22,40.360435185527116,40.86552649965354,40.33929262849657,40.52488327026367,123967600
2018-02-23,40.799743490838885,41.2648976259703,40.76920185482098,41.22966003417969,135249600
2018-02-26,41.429349848762854,42.14352586821339,41.396460234407215,42.044857025146484,152648800
2018-02-27,42.075399491200336,42.399596100612726,41.85456768273009,41.908599853515625,155712400
2018-02-28,42.1129855310267,42.43248618806671,41.82872605204726,41.84516906738281,151128400
2018-03-01,41.94383343816568,42.235143989434334,40.56246615530191,41.1121940612793,195208000
2018-03-02,40.59536755610546,41.4176116761117,40.51314171022488,41.39646911621094,153816000
2018-03-05,41.16153583908132,41.75590049541586,40.9994357355902,41.53976821899414,113605600
2018-03-06,41.79583480191392,41.87570906687499,41.37766531511881,41.50452423095703,95154000
2018-03-07,41.09810869248664,41.3118930122191,40.94070811407803,41.1192512512207,126814000
